广州谐同电子科技有限公司,一号馆A区,"1A01,1A02"
武汉孚安特科技有限公司,一号馆A区,"1A03,1A04"
常熟立凯威宝源电池科技有限公司,一号馆A区,"1A05,1A06"
深圳市威迪信科技有限公司,一号馆A区,1A07
菏泽天宇锂电能源科技有限公司；菏泽天信新材料科技有限公司,一号馆A区,"1A08,1A09,1A10"
常州市宇峰电源有限公司,一号馆A区,"1A101,1A102"
力佳电源科技(深圳)股份有限公司,一号馆A区,"1A104,1A103"
中核建中核燃料元件有限公司,一号馆A区,"1A105,1A106"
FMC Corporation,一号馆A区,"1A107,1A108,1A109"
深圳市赛美达电子有限公司,一号馆A区,1A11
上海森村贸易有限公司,一号馆A区,1A110
CSA加华美,一号馆A区,1A111
布劳恩惰性气体系统(上海)有限公司,一号馆A区,1A112
迪恩士电子科技（上海）有限公司,一号馆A区,1A113
香港富奇德弘科技有限公司,一号馆A区,1A114
无锡市百事杰金属制品科技有限公司,一号馆A区,"1A115,1A116"
深圳市中业恒通科技有限公司,一号馆A区,1A117
承德科技股份有限公司,一号馆A区,1A118
重光化工有限公司,一号馆A区,1A119
山西中科忻能科技有限公司,一号馆A区,1A12
赛默飞世尔科技(中国)有限公司,一号馆A区,1A120
美塞斯(珠海保税区)工业自动化设备有限公司,一号馆A区,"1A121,1A122"
青岛大青精工有限公司,一号馆A区,"1A123,1A124"
深圳市昭佑科技有限公司,一号馆A区,1A125
庄信万丰电池材料（常州）有限公司,一号馆A区,1A126
"CIS CO., LTD",一号馆A区,"1A127,1A128"
元峻有限公司,一号馆A区,1A129
上海金动港能源科技有限公司,一号馆A区,1A13
贝克牌气泵设备（上海）有限公司,一号馆A区,1A130
微觉视检测技术(苏州)有限公司,一号馆A区,1A131
NDC Technologies Inc,一号馆A区,1A132
"YJC CO.,LTD",一号馆A区,"1A133,1A134"
"Yujin Technology., Ltd",一号馆A区,1A135
"Ecopro Co., Ltd.",一号馆A区,1A136
"Samdo Press Cp., Ltd.",一号馆A区,1A137
"CS Tech. Co., Ltd.",一号馆A区,"1A138,1A139"
诺士达盛特电子（上海）有限公司,一号馆A区,1A14
"ETH CO., LTD",一号馆A区,"1A140,1A141"
"Techland, Inc.",一号馆A区,1A142
KBIA,一号馆A区,1A143
MK Electron,一号馆A区,1A144
Myoungsung Machinery,一号馆A区,"1A145,1A146"
无锡广圣自动化设备有限公司 ,一号馆A区,"1A147,1A148"
河源铁研电子科技有限公司,一号馆A区,"1A149,1A150"
深圳市国新动力科技有限公司,一号馆A区,1A15
上海荷迪思湿度控制设备有限公司,一号馆A区,"1A151,1A152"
江门市荣炭电子材料有限公司,一号馆A区,1A153
达尼特材料科技(芜湖)有限公司,一号馆A区,"1A154,1A155"
前瞻能源科技股份有限公司,一号馆A区,1A156
川田机械制造(上海)有限公司,一号馆A区,"1A157,1A158"
埃地沃兹贸易(上海)有限公司,一号馆A区,1A159
苏州威星能源科技有限公司,一号馆A区,1A16
德国新帕泰克有限公司,一号馆A区,1A160
珠海欧美克仪器有限公司,一号馆A区,"1A161,1A162"
亚智系统科技(苏州)有限公司,一号馆A区,"1A163,1A164"
蒂森克虏伯汽车系统技术（上海）有限公司,一号馆A区,"1A165,1A166"
常熟聚和化学有限公司,一号馆A区,1A167
东扬精测系统(上海)有限公司,一号馆A区,1A168
广州保税区易威奇工贸有限公司,一号馆A区,"1A169,1A170"
深圳市创乐方电子科技有限公司,一号馆A区,"1A17,1A18"
阿科玛(中国)投资有限公司上海分公司,一号馆A区,"1A171,1A172"
旭精机工业株式会社,一号馆A区,1A173
JSR株式会社,一号馆A区,"1A174,1A175"
JM Energy Corporation,一号馆A区,1A176
电气化学工业(上海)贸易有限公司,一号馆A区,"1A177,1A178"
上海外电国际贸易有限公司,一号馆A区,"1A179,1A180"
锰动力新能源有限公司,一号馆A区,1A181
迪卡龙集团,一号馆A区,"1A182,1A183"
三菱制纸株式会社,一号馆A区,1A184
库力索法（上海）国际贸易有限公司,一号馆A区,1A185
广州长濑贸易有限公司,一号馆A区,1A186
Grenzebach Maschinenbau GmbH,一号馆A区,"1A187,1A188"
德国瀚辉公司上海代表处,一号馆A区,"1A189,1A190"
深圳市山木新能源科技股份有限公司,一号馆A区,1A19
英国马尔文仪器有限公司,一号馆A区,"1A191,1A192"
北京朗正智能科技有限公司,一号馆A区,1A193
深圳市力源电池科技有限公司,一号馆A区,1A194
杭州高特新能源技术有限公司,一号馆A区,1A195
AeroVironment Inc,一号馆A区,1A196
杭州海湖实业有限公司,一号馆A区,"1A197,1A198"
爱立许集团（中国）有限公司,一号馆A区,1A199
大昌华嘉商业（中国）有限公司,一号馆A区,1A20
安徽科比电子科技有限公司,一号馆A区,1A200
"BLACK DIAMOND STRUCTURES.,LLC",一号馆A区,1A201
Nabaltec AG,一号馆A区,1A202
郑州瑞能电气有限公司,一号馆A区,1A203
厦门宝龙工业股份有限公司,一号馆A区,1A21
